transaction_id,branch_id,city,amount,status,transaction_type,account_type,customer_id,customer_age,gender,channel,currency,transaction_date
MUM-3-1848,3,Mumbai,4264.09,SUCCESS,WITHDRAWAL,SAVINGS,CUST31640,22,MALE,MOBILE,INR,2025-05-01
MUM-3-4863,3,Mumbai,3217.4,FAILED,DEPOSIT,CURRENT,CUST19703,50,MALE,ATM,INR,2025-05-01
MUM-3-8174,3,Mumbai,4145.21,FAILED,WITHDRAWAL,CURRENT,CUST44450,37,OTHER,BRANCH,INR,2025-05-01
MUM-3-7790,3,Mumbai,2658.72,FAILED,PAYMENT,SAVINGS,CUST69967,34,MALE,INTERNET,INR,2025-05-01
MUM-3-6610,3,Mumbai,1034.57,SUCCESS,TRANSFER,CURRENT,CUST47730,24,MALE,BRANCH,INR,2025-05-01
MUM-3-2258,3,Mumbai,3468.75,FAILED,TRANSFER,LOAN,CUST47088,56,OTHER,ATM,INR,2025-05-01
MUM-3-1282,3,Mumbai,4469.51,SUCCESS,DEPOSIT,LOAN,CUST31241,26,FEMALE,BRANCH,INR,2025-05-01
MUM-3-7201,3,Mumbai,1093.44,FAILED,DEPOSIT,SAVINGS,CUST20167,45,MALE,MOBILE,INR,2025-05-01
MUM-3-9010,3,Mumbai,3406.82,FAILED,TRANSFER,CURRENT,CUST46078,60,MALE,INTERNET,INR,2025-05-01
MUM-3-9595,3,Mumbai,3185.48,FAILED,WITHDRAWAL,CURRENT,CUST97400,62,OTHER,ATM,INR,2025-05-01
MUM-3-9435,3,Mumbai,1647.92,SUCCESS,DEPOSIT,CURRENT,CUST13668,19,MALE,BRANCH,INR,2025-05-01
MUM-3-4654,3,Mumbai,1721.47,FAILED,WITHDRAWAL,SAVINGS,CUST75092,69,MALE,MOBILE,INR,2025-05-01
MUM-3-4677,3,Mumbai,4112.81,FAILED,DEPOSIT,LOAN,CUST26925,21,FEMALE,INTERNET,INR,2025-05-01
MUM-3-6120,3,Mumbai,582.03,FAILED,TRANSFER,LOAN,CUST71643,64,OTHER,ATM,INR,2025-05-01
MUM-3-9220,3,Mumbai,131.39,FAILED,DEPOSIT,LOAN,CUST49689,62,OTHER,BRANCH,INR,2025-05-01
MUM-3-6355,3,Mumbai,1476.4,SUCCESS,TRANSFER,LOAN,CUST55020,28,FEMALE,INTERNET,INR,2025-05-01
MUM-3-2349,3,Mumbai,987.28,FAILED,DEPOSIT,CURRENT,CUST90565,33,MALE,INTERNET,INR,2025-05-01
MUM-3-5047,3,Mumbai,1700.87,FAILED,TRANSFER,LOAN,CUST87232,33,FEMALE,INTERNET,INR,2025-05-01
MUM-3-7753,3,Mumbai,2596.06,SUCCESS,DEPOSIT,SAVINGS,CUST91132,59,MALE,INTERNET,INR,2025-05-01
MUM-3-5357,3,Mumbai,922.2,FAILED,PAYMENT,SAVINGS,CUST67368,61,FEMALE,ATM,INR,2025-05-01
MUM-3-7042,3,Mumbai,1027.33,SUCCESS,TRANSFER,LOAN,CUST68177,43,OTHER,MOBILE,INR,2025-05-02
MUM-3-9331,3,Mumbai,1277.12,SUCCESS,DEPOSIT,LOAN,CUST17804,48,OTHER,MOBILE,INR,2025-05-02
MUM-3-5882,3,Mumbai,253.0,FAILED,TRANSFER,SAVINGS,CUST95034,41,FEMALE,BRANCH,INR,2025-05-02
MUM-3-4802,3,Mumbai,1365.93,SUCCESS,PAYMENT,SAVINGS,CUST36662,49,OTHER,BRANCH,INR,2025-05-02
